"","mediator2","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant"
"35","brain_latent_grey","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.551481119582268,0,-0.566390079098551,-0.536572160065985,0,TRUE
"38","brain_latent_grey","brain_latent_grey","~","cardio_latent_gvrf","a2",-0.0152853037583335,0.133097731658231,-0.0352311712426483,0.00466056372598132,0.169694832868036,FALSE
"39","brain_latent_grey","brain_latent_grey","~","heart_latent_pc2","m",0.0974362989931268,0,0.0797507814837351,0.115121816502518,0,TRUE
"42","brain_latent_grey","cog_latent_g","~","cardio_latent_gvrf","c",0.00921017943136523,0.448995782047344,-0.0146332387918729,0.0330535976546033,0.501053264023847,FALSE
"43","brain_latent_grey","cog_latent_g","~","heart_latent_pc2","b1",0.0585295969544801,6.85250700627194e-08,0.0372662074059941,0.0797929865029662,1.55189129259688e-07,TRUE
"44","brain_latent_grey","cog_latent_g","~","brain_latent_grey","b2",0.196591965418346,0,0.175454885014794,0.217729045821897,0,TRUE
"47","brain_latent_grey","de",":=","c","de",0.00921017943136523,0.448995782047344,-0.0146332387918729,0.0330535976546033,0.501053264023847,FALSE
"48","brain_latent_grey","ie1",":=","a1*b1","ie1",-0.0322779676571556,7.56479188179782e-08,-0.0440431072026849,-0.0205128281116264,1.66425421399552e-07,TRUE
"49","brain_latent_grey","ie2",":=","a2*b2","ie2",-0.0030049679078672,0.134433568895457,-0.00693966287841685,0.00092972706268244,0.169694832868036,FALSE
"50","brain_latent_grey","ie3",":=","a1*m*b2","ie3",-0.0105637275694094,0,-0.0128163377156089,-0.00831111742320984,0,TRUE
"51","brain_latent_grey","te",":=","c+a1*b1+a2*b2+a1*m*b2","te",-0.036636483703067,0.000663123768879892,-0.0577287266964528,-0.0155442407096812,0.000945566537348831,TRUE
"52","brain_latent_atrophy","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.551481104079121,0,-0.566390063844628,-0.536572144313615,0,TRUE
"55","brain_latent_atrophy","brain_latent_atrophy","~","cardio_latent_gvrf","a2",0.0270786384058285,0.00670384946320413,0.00750317614890047,0.0466541006627565,0.00905607734503013,TRUE
"56","brain_latent_atrophy","brain_latent_atrophy","~","heart_latent_pc2","m",0.102458113154559,0,0.0850999860075298,0.119816240301587,0,TRUE
"59","brain_latent_atrophy","cog_latent_g","~","cardio_latent_gvrf","c",0.000870851725331968,0.942970937837497,-0.0229888963019362,0.0247305997526002,0.968116829513163,FALSE
"60","brain_latent_atrophy","cog_latent_g","~","heart_latent_pc2","b1",0.0575010302959626,1.19739397286267e-07,0.0362123596011277,0.0787897009907974,2.56109266417849e-07,TRUE
"61","brain_latent_atrophy","cog_latent_g","~","brain_latent_atrophy","b2",0.196995261422365,0,0.175444056416334,0.218546466428395,0,TRUE
"64","brain_latent_atrophy","de",":=","c","de",0.000870851725331968,0.942970937837497,-0.0229888963019362,0.0247305997526002,0.968116829513163,FALSE
"65","brain_latent_atrophy","ie1",":=","a1*b1","ie1",-0.0317107316733045,1.31253128365927e-07,-0.0434884197314014,-0.0199330436152075,2.73148402275037e-07,TRUE
"66","brain_latent_atrophy","ie2",":=","a2*b2","ie2",0.00533436345171786,0.00735370921249934,0.00143374748891725,0.00923497941451847,0.00976268292004222,TRUE
"67","brain_latent_atrophy","ie3",":=","a1*m*b2","ie3",-0.0111309637855424,0,-0.0134020702385752,-0.00885985733250963,0,TRUE
"68","brain_latent_atrophy","te",":=","c+a1*b1+a2*b2+a1*m*b2","te",-0.036636480281797,0.000663124535738469,-0.0577287232623833,-0.0155442373012108,0.000945566537348831,TRUE
"69","brain_latent_gMD","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.551481116413889,0,-0.566390075904403,-0.536572156923374,0,TRUE
"72","brain_latent_gMD","brain_latent_gMD","~","cardio_latent_gvrf","a2",0.092709378390664,3.99680288865056e-15,0.0695860319503153,0.115832724831013,2.05169214950729e-14,TRUE
"73","brain_latent_gMD","brain_latent_gMD","~","heart_latent_pc2","m",0.0797404768616036,3.04201108747293e-14,0.0591676616833731,0.100313292039834,1.37785208079656e-13,TRUE
"76","brain_latent_gMD","cog_latent_g","~","cardio_latent_gvrf","c",0.0101254449772841,0.412243360294746,-0.014077804450048,0.0343286944046163,0.488349826810699,FALSE
"77","brain_latent_gMD","cog_latent_g","~","heart_latent_pc2","b1",0.0810566320555671,1.31450406115619e-13,0.0596012942116122,0.102511969899522,4.81984822423935e-13,TRUE
"78","brain_latent_gMD","cog_latent_g","~","brain_latent_gMD","b2",-0.0422856235408855,8.68763928618677e-06,-0.0609204391097063,-0.0236508079720647,1.59273386913424e-05,TRUE
"81","brain_latent_gMD","de",":=","c","de",0.0101254449772841,0.412243360294746,-0.014077804450048,0.0343286944046163,0.488349826810699,FALSE
"82","brain_latent_gMD","ie1",":=","a1*b1","ie1",-0.0447012019387539,1.85629289717326e-13,-0.0566070225098225,-0.0327953813676854,6.25171412223054e-13,TRUE
"83","brain_latent_gMD","ie2",":=","a2*b2","ie2",-0.00392027387333712,0.000109430901787722,-0.00590638197107453,-0.00193416577559972,0.000191504078128513,TRUE
"84","brain_latent_gMD","ie3",":=","a1*m*b2","ie3",0.00185952582261881,0.000128281901953464,0.000907866063105753,0.00281118558213187,0.000219504587787039,TRUE
"85","brain_latent_gMD","te",":=","c+a1*b1+a2*b2+a1*m*b2","te",-0.0366365050121881,0.000663118944062457,-0.0577287479614925,-0.0155442620628837,0.000945566537348831,TRUE
"86","brain_latent_gFA","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.551481112425487,0,-0.566390072082923,-0.536572152768052,0,TRUE
"89","brain_latent_gFA","brain_latent_gFA","~","cardio_latent_gvrf","a2",-0.0702532958373514,7.39609484767811e-09,-0.0940688777561084,-0.0464377139185943,1.77968532272255e-08,TRUE
"90","brain_latent_gFA","brain_latent_gFA","~","heart_latent_pc2","m",-0.053882272165401,6.17055872176309e-07,-0.0750638856963897,-0.0327006586344122,1.25035005677831e-06,TRUE
"93","brain_latent_gFA","cog_latent_g","~","cardio_latent_gvrf","c",0.00975275343256894,0.428929591245853,-0.014412163320086,0.0339176701852239,0.492948933222846,FALSE
"94","brain_latent_gFA","cog_latent_g","~","heart_latent_pc2","b1",0.08040565312944,1.86739512741951e-13,0.0589878191139943,0.101823487144886,6.25171412223054e-13,TRUE
"95","brain_latent_gFA","cog_latent_g","~","brain_latent_gFA","b2",0.050496832596283,4.57497899564174e-08,0.0323935871484828,0.0686000780440833,1.06749509898307e-07,TRUE
"98","brain_latent_gFA","de",":=","c","de",0.00975275343256894,0.428929591245853,-0.014412163320086,0.0339176701852239,0.492948933222846,FALSE
"99","brain_latent_gFA","ie1",":=","a1*b1","ie1",-0.0443421990331214,2.61124455391837e-13,-0.056226288959919,-0.0324581091063239,8.37774294382143e-13,TRUE
"100","brain_latent_gFA","ie2",":=","a2*b2","ie2",-0.00354756891923588,7.18556924850233e-05,-0.00529895656494307,-0.00179618127352869,0.00012867182142667,TRUE
"101","brain_latent_gFA","ie3",":=","a1*m*b2","ie3",0.0015005161778094,0.000236768823839162,0.000700508631349144,0.00230052372426966,0.00039633042251338,TRUE
"102","brain_latent_gFA","te",":=","c+a1*b1+a2*b2+a1*m*b2","te",-0.036636498341979,0.000663120449212684,-0.0577287412920243,-0.0155442553919336,0.000945566537348831,TRUE
"103","brain_latent_pc1","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.551481113569684,0,-0.566390073051428,-0.53657215408794,0,TRUE
"106","brain_latent_pc1","brain_latent_pc1","~","cardio_latent_gvrf","a2",-0.090825373015731,7.105427357601e-15,-0.113693958384834,-0.0679567876466279,3.41948691584548e-14,TRUE
"107","brain_latent_pc1","brain_latent_pc1","~","heart_latent_pc2","m",-0.07846818524761,4.06341627012807e-14,-0.0988134738658565,-0.0581228966293635,1.73823918222145e-13,TRUE
"110","brain_latent_pc1","cog_latent_g","~","cardio_latent_gvrf","c",0.0113935620086712,0.355853636896453,-0.012792616710935,0.0355797407282774,0.434932222873443,FALSE
"111","brain_latent_pc1","cog_latent_g","~","heart_latent_pc2","b1",0.0821672419720295,5.83977310952832e-14,0.0607275628268328,0.103606921117226,2.36664489175622e-13,TRUE
"112","brain_latent_pc1","cog_latent_g","~","brain_latent_pc1","b2",0.0571244921492692,2.70520850165212e-09,0.0383027855399317,0.0759461987586066,6.71938885894237e-09,TRUE
"115","brain_latent_pc1","de",":=","c","de",0.0113935620086712,0.355853636896453,-0.012792616710935,0.0355797407282774,0.434932222873443,FALSE
"116","brain_latent_pc1","ie1",":=","a1*b1","ie1",-0.0453136821016845,8.41549052665869e-14,-0.0572129464681654,-0.0334144177352036,3.23996385276359e-13,TRUE
"117","brain_latent_pc1","ie2",":=","a2*b2","ie2",-0.00518835330779157,2.3222873186679e-06,-0.00734136626172916,-0.00303534035385397,4.58502880865202e-06,TRUE
"118","brain_latent_pc1","ie3",":=","a1*m*b2","ie3",0.0024719894029493,3.16835468705534e-06,0.00143219679338245,0.00351178201251615,6.09908277258153e-06,TRUE
"119","brain_latent_pc1","te",":=","c+a1*b1+a2*b2+a1*m*b2","te",-0.0366364839978555,0.000663123698872337,-0.0577287269823094,-0.0155442410134016,0.000945566537348831,TRUE
"120","brain_latent_pc2","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.551481114642258,0,-0.566390074250366,-0.536572155034151,0,TRUE
"123","brain_latent_pc2","brain_latent_pc2","~","cardio_latent_gvrf","a2",0.0441734203126963,0.000321224569934442,0.020107533460302,0.0682393071650905,0.000526261529467064,TRUE
"124","brain_latent_pc2","brain_latent_pc2","~","heart_latent_pc2","m",0.0303118058956568,0.00548593802469921,0.00891837183452288,0.0517052399567907,0.00754316478396141,TRUE
"127","brain_latent_pc2","cog_latent_g","~","cardio_latent_gvrf","c",0.0043778217942986,0.722419424353829,-0.0197767873768264,0.0285324309654236,0.76200405034582,FALSE
"128","brain_latent_pc2","cog_latent_g","~","heart_latent_pc2","b1",0.0764308346448064,2.65210076122457e-12,0.0550153904659052,0.0978462788237075,7.85429840824201e-12,TRUE
"129","brain_latent_pc2","cog_latent_g","~","brain_latent_pc2","b2",0.0413682968201346,6.26588352181656e-06,0.0234190945511441,0.0593174990891251,1.17676349068262e-05,TRUE
"132","brain_latent_pc2","de",":=","c","de",0.0043778217942986,0.722419424353829,-0.0197767873768264,0.0285324309654236,0.76200405034582,FALSE
"133","brain_latent_pc2","ie1",":=","a1*b1","ie1",-0.0421501618829559,3.49076323402642e-12,-0.0540259639634977,-0.0302743598024142,9.9551395933346e-12,TRUE
"134","brain_latent_pc2","ie2",":=","a2*b2","ie2",0.00182737916305618,0.0049035119615426,0.000554286707881084,0.00310047161823128,0.00686491674615963,TRUE
"135","brain_latent_pc2","ie3",":=","a1*m*b2","ie3",-0.000691528521317899,0.0180867264042726,-0.00126490583234835,-0.000118151210287444,0.0236047107309998,TRUE
"136","brain_latent_pc2","te",":=","c+a1*b1+a2*b2+a1*m*b2","te",-0.0366364894469191,0.000663122469147348,-0.0577287324304523,-0.0155442464633858,0.000945566537348831,TRUE
"137","brain_latent_pc3","heart_latent_pc2","~","cardio_latent_gvrf","a1",-0.551481113709651,0,-0.566390073312612,-0.536572154106691,0,TRUE
"140","brain_latent_pc3","brain_latent_pc3","~","cardio_latent_gvrf","a2",7.4484632657175e-05,0.994605677156995,-0.0215185951506334,0.0216675644159478,0.99460567787388,FALSE
"141","brain_latent_pc3","brain_latent_pc3","~","heart_latent_pc2","m",0.0687036657385804,2.10453876547945e-12,0.049541931779889,0.0878653996972717,6.4819793976767e-12,TRUE
"144","brain_latent_pc3","cog_latent_g","~","cardio_latent_gvrf","c",0.00619617248652306,0.613132956947413,-0.0178230524658256,0.0302153974388718,0.664947009647194,FALSE
"145","brain_latent_pc3","cog_latent_g","~","heart_latent_pc2","b1",0.0693412696382801,1.95242710887555e-10,0.0479892502928558,0.0906932889837045,5.36917454940777e-10,TRUE
"146","brain_latent_pc3","cog_latent_g","~","brain_latent_pc3","b2",0.121442238266775,0,0.101620129267309,0.141264347266241,0,TRUE
"149","brain_latent_pc3","de",":=","c","de",0.00619617248652306,0.613132956947413,-0.0178230524658256,0.0302153974388718,0.664947009647194,FALSE
"150","brain_latent_pc3","ie1",":=","a1*b1","ie1",-0.03824040060616,2.35977015705657e-10,-0.0500698077053318,-0.0264109935069881,6.26559662390883e-10,TRUE
"151","brain_latent_pc3","ie2",":=","a2*b2","ie2",9.04558050636585e-06,0.99460567787388,-0.00261326670795019,0.00263135786896292,0.99460567787388,FALSE
"152","brain_latent_pc3","ie3",":=","a1*m*b2","ie3",-0.00460129753157828,1.57835322589506e-09,-0.00609535891886915,-0.0031072361442874,4.05110661313065e-09,TRUE
"153","brain_latent_pc3","te",":=","c+a1*b1+a2*b2+a1*m*b2","te",-0.0366364800707088,0.000663124584634245,-0.057728723054541,-0.0155442370868767,0.000945566537348831,TRUE
